Country,Population growth,ISO-code
Russia,0.4,RUS
Rwanda,2.77,RWA
Saint Kitts and Nevis,1.15,KNA
Saint Lucia,0.89,LCA
Saint Vincent and the Grenadines,0.01,VCT
Samoa,0.78,WSM
San Marino,0.64,SMR
Saudi Arabia,1.88,SAU
Senegal,2.92,SEN
Serbia,-0.48,SRB
Seychelles,0.39,SYC
Sierra Leone,1.91,SLE
Singapore,2.45,SGP
Slovakia,0.22,SVK
Slovenia,0.26,SVN
Solomon Islands,2.13,SLB
Somalia,2.86,SOM
South Africa,1.18,ZAF
South Korea,0.45,KOR
South Sudan,4.3,SSD
Spain,0.09,ESP
Sri Lanka,1.04,LKA
Sudan,2.08,SDN
Suriname,0.9,SUR
Sweden,0.71,SWE
Switzerland,1.07,CHE
Syria,1.97,SYR
Tajikistan,2.45,TJK
Tanzania,3.04,TZA
Thailand,0.31,THA
The Bahamas,1.52,BHS
The Gambia,3.19,GMB
Togo,2.6,TGO
Tonga,0.37,TON
Trinidad and Tobago,0.33,TTO
Tunisia,0.97,TUN
Turkey,1.28,TUR
Turkmenistan,1.29,TKM
Turks and Caicos Islands,2.19,TCA
Tuvalu,0.16,TUV
Uganda,3.35,UGA
Ukraine,-0.25,UKR
United Arab Emirates,3.1,ARE
United Kingdom,0.75,GBR
United States,0.74,USA
Uruguay,0.35,URY
Uzbekistan,1.47,UZB
Vanuatu,2.24,VUT
Venezuela,1.53,VEN
Vietnam,1.06,VNM
Yemen,2.33,YEM
Zambia,3.19,ZMB
Zimbabwe,2.7,ZWE
