Country,Urbanization rate,ISO-code
Egypt,42.8,EGY
Moldova,42.8,MDA
Faroe Islands,42.4,FRO
Togo,42.8,TGO
Bhutan,42.3,BTN
Central African Republic,42.2,CAF
Eritrea,41.3,ERI
Mauritius,40.8,MUS
Maldives,40.7,MDV
"Saint Helena, Ascension and Tristan da Cunha",40.1,SHN
Madagascar,38.5,MDG
Bangladesh,38.2,BGD
Vietnam,37.3,VNM
Pakistan,37.2,PAK
Mozambique,37.1,MOZ
Kyrgyzstan,36.9,KGZ
Yemen,36.6,YEM
Grenada,36.5,GRD
Guinea,36.5,GIN
Laos,36.3,LAO
Sudan,35.3,SDN
Tanzania,35.2,TZA
India,34.9,IND
Zimbabwe,32.2,ZWE
East Timor,31.3,TLS
Barbados,31.2,BRB
Myanmar,31.1,MMR
Guernsey,31,GGY
Jersey,31,JEY
Saint Kitts and Nevis,30.8,KNA
Burkina Faso,30.6,BFA
Comoros,29.4,COM
Lesotho,29,LSO
Kenya,28,KEN
Tajikistan,27.5,TJK
Guyana,26.8,GUY
Afghanistan,26,AFG
Vanuatu,25.5,VUT
Uganda,25,UGA
Solomon Islands,24.7,SLB
Antigua and Barbuda,24.4,ATG
Eswatini,24.2,SWZ
Cambodia,24.2,KHM
Chad,23.5,TCD
Tonga,23.1,TON
Ethiopia,21.7,ETH
Nepal,20.6,NPL
South Sudan,20.2,SSD
Saint Lucia,18.8,LCA
Sri Lanka,18.7,LKA
Rwanda,17.4,RWA
Malawi,17.4,MWI
Niger,16.6,NER
Liechtenstein,14.4,LIE
Burundi,13.7,BDI
Papua New Guinea,13.3,PNG
Montserrat,9.1,MSR
