Country,Median age,ISO-code
Grenada,31.5,GRD
Guam,29,GUM
Guatemala,22.1,GTM
Guernsey,43.8,GGY
Guinea,20.1,GIN
Guinea,18.9,GIN
Guyana,26.2,GUY
Haiti,23,HTI
Honduras,23,HND
Hong Kong,44.4,HKG
Hungary,42.3,HUN
Iceland,36.5,ISL
India,28.1,IND
Indonesia,30.2,IDN
Iran,30.3,IRN
Iraq,20,IRQ
Ireland,36.8,IRL
Isle of Man,44.2,IMN
Israel,29.9,ISR
Italy,45.5,ITA
Jamaica,26,JAM
Japan,47.3,JPN
Jersey,38,JEY
Jordan,22.5,JOR
Kazakhstan,30.6,KAZ
Kenya,19.7,KEN
Kiribati,24.6,KIR
North Korea,34,PRK
South Korea,41.8,KOR
Kuwait,29.3,KWT
Kyrgyzstan,26.5,KGZ
Laos,23,LAO
Latvia,43.6,LVA
Lebanon,30.5,LBN
Lesotho,24.2,LSO
Liberia,17.8,LBR
Libya,28.9,LBY
Liechtenstein,43.2,LIE
Lithuania,43.7,LTU
Luxembourg,39.3,LUX
Macau,39.3,MAC
North Macedonia,37.9,MKD
Madagascar,19.7,MDG
Malawi,16.5,MWI
Malaysia,28.5,MYS
Maldives,28.2,MDV
Mali,15.8,MLI
Malta,41.8,MLT
Marshall Islands,22.9,MHL
Mauritania,20.5,MRT
Mauritius,35.3,MUS
Mexico,28.3,MEX
Micronesia,25.1,FSM
Moldova,36.7,MDA
Monaco,53.1,MCO
Mongolia,28.3,MNG
Montenegro,40.7,MNE
Montserrat,33.2,MSR
Morocco,29.3,MAR
Mozambique,17.2,MOZ
Namibia,21.2,NAM
Nauru,26.4,NRU
Nepal,24.1,NPL
Netherlands,42.6,NLD
New Caledonia,32,NCL
New Zealand,37.9,NZL
Nicaragua,25.7,NIC
Nigeria,18.4,NGA
Niger,15.4,NER
Northern Mariana Islands,33.6,MNP
Norway,39.2,NOR
Oman,25.6,OMN
Pakistan,23.8,PAK
Palau,33.4,PLW
Panama,29.2,PAN
Papua New Guinea,23.1,PNG
Paraguay,28.2,PRY
Peru,28,PER
Philippines,23.5,PHL
Poland,40.7,POL
Portugal,42.2,PRT
Puerto Rico,41.5,PRI
Qatar,33.2,QAT
Romania,41.1,ROU
Russia,39.6,RUS
Rwanda,19,RWA
Saint Barthelemy,44.1,BLM
Saint Kitts and Nevis,35,KNA
Saint Lucia,34.8,LCA
Saint Martin,32.5,MAF
Saint Pierre and Miquelon,46.5,SPM
Saint Vincent and the Grenadines,33.6,VCT
Samoa,24.4,WSM
San Marino,44.4,SMR
Sao Tome and Principe,18.4,STP
Saudi Arabia,27.5,SAU
Senegal,18.8,SEN
Serbia,42.6,SRB
Seychelles,35.4,SYC
Sierra Leone,19,SLE
Singapore,34.6,SGP
Sint Maarten,41,SXM
Slovakia,40.5,SVK
Slovenia,44.5,SVN
Solomon Islands,22.5,SLB
Somalia,18.1,SOM
South Africa,27.1,ZAF
South Sudan,17.3,SSD
Spain,42.7,ESP
Sri Lanka,32.8,LKA
Sudan,19.9,SDN
Suriname,29.8,SUR
Sweden,41.2,SWE
Switzerland,42.4,CHE
Syria,24.3,SYR
Taiwan,40.7,TWN
Tajikistan,24.5,TJK
Tanzania,17.7,TZA
Thailand,37.7,THA
East Timor,18.9,TLS
Togo,19.8,TGO
Tonga,23,TON
Trinidad and Tobago,36,TTO
Tunisia,31.6,TUN
Turkey,30.9,TUR
Turkmenistan,27.9,TKM
Turks and Caicos Islands,33.3,TCA
Tuvalu,25.7,TUV
Uganda,15.8,UGA
Ukraine,40.6,UKR
United Arab Emirates,30.3,ARE
United Kingdom,40.5,GBR
United States,38.1,USA
Uruguay,35,URY
Uzbekistan,28.6,UZB
Vanuatu,22,VUT
Venezuela,28.3,VEN
Vietnam,30.5,VNM
Virgin Islands,41,VIR
Wallis and Futuna,32.2,WLF
Western Sahara,21.1,ESH
Yemen,19.5,YEM
Zambia,16.8,ZMB
Zimbabwe,20,ZWE
